Effective_From_DateTime,Effective_End_DateTime,Loc_Prop,Loc_Name,Allocated_Qty,Direction_Of_Flow,Accounting_Physincal_Indicator,Posting_DateTime
11/14/2022 09:00,11/15/2022 08:59,00830,"Marathon (MIDDLESEX,MA)","3,236",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00831,"CMEEC-PIERCE POWER PLANT-(NEW HAVEN,CT)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00832,"Norfolk Meter Station (NORFOLK,MA)","1,505",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00833,Kleen Energy,0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00834,"BELD - Braintree Electric Light  (NORFOLK,MA)",200,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00835,"WEST DANBURY (FAIRFIELD,CT)","1,037",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00836,GenConn Power Plant,0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00837,Salem Harbor Station,0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00838,National Grid - West Roxbury,"5,213",D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00839,"NStar - Assonet, Bristol Co, MA",139,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00840,AGT to TE Hanover,0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00841,"Norwich Public Utilities-Oakland Heights, New London, CT",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00842,"National Grid - Crary Street-Providence,,RI",2,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00843,CPV Towantic,0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00844,"Exelon/Constellation Energy, Norfolk Co., Ma",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,00851,"Brookfield Delivery (FAIRFIELD,CT)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,01211,AGT To TETCO for PSEG Del.,0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,01215,"Salem Essex Co., MA North (ESSEX,MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,02210,"LAMBERTVILLE DELIVERY (HUNTERDON, NJ)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,02630,"Neptune LNG -(ESSEX, MA)",0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,80100,KLEEN ENERGY LATERAL MAINLINE,0,D,A,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,80101,KLEEN ENERGY LATERAL,0,R,A,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,87000,AGT PAL POINT OF TRANSACTION,0,R,A,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,88888,00215/01215,0,D,P,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,99200,NJ-NY MAINLINE,0,D,A,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,99826,BROOKFIELD IN-LINE TRANSFER POINT,0,R,A,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,99847,AGT WEST END ACCTG PT,0,R,A,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,99854,"HANOVER, NJ FUEL ACCOUNTING METER",0,R,A,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,99855,SALEM LATERAL CUSTODY TRANSFER POINT,0,R,A,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,99856,MAHWAH IN-LINE TRANSFER POINT,0,D,A,12/10/2022 06:05
11/14/2022 09:00,11/15/2022 08:59,99857,EAST BRAINTREE CUSTODY TRANSFER POINT,"-2,855",D,A,12/10/2022 06:05

