GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,GFPipeID,EffGasDayTime,TSP_Name,PipeCode,CycleDesc
100OA071862R,Receipt Location,71862,"Britanco, LLC - #1D Goree, Bee Co., TX",STX,Y,R,,7448.0,7702.0,24.0,7678.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071963R,Receipt Location,71963,"Scorpion Oil&Gas, LLC-#1 Faulkner - Pontotoc, MS",1,N,R,,3728.0,3947.0,1.0,3946.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071964R,Receipt Location,71964,"Enbridge Pipelines (East Texas) LP -Longview/Gregg Co., TX",ETX,N,R,,50885.0,64402.0,17500.0,46902.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071987D,Delivery Location,71987,"UGI UTIL - (Grantville) Hershey, PA",3,N,D,,85487.0,85487.0,18644.0,66843.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA071993D,Delivery Location,71993,"Cin Gas & Elec -Butler Co., OH",2,N,D,,6427.0,6515.0,1500.0,5015.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072004D,Delivery Location,72004,"PECO Energy - Planebrook Chester Co., PA",3,N,D,,40415.0,40415.0,597.0,39818.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072026D,Delivery Location,72026,"NGO (Miller) - Butler Co., OH",2,N,D,,5758.0,5806.0,0.0,5806.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072080R,Receipt Location,72080,"Great Lakes Energy Partners.- #1 Tex. Gulf-Centre Co., PA",3,N,R,,16505.0,17182.0,196.0,16986.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072131R,Receipt Location,72131,"Marshall Exploration - #1 Resch / Harrison Co., TX  (REC)",ETX,N,R,,3586.0,3716.0,100.0,3616.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072158R,Receipt Location,72158,"Avery Gas - Chicksaw Co., MS",1,N,R,,8225.0,8475.0,1.0,8474.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072185R,Receipt Location,72185,Dewbre Petroleum/Allen East A,STX,N,R,,1018.0,1018.0,0.0,1018.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072187D,Delivery Location,72187,"GULF SOUTH PIPELINE COMPANY, LP - Raceland, LA",ELA,N,D,,200000.0,250000.0,4534.0,245466.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072190D,Delivery Location,72190,"Kennett - Dunklin Co., MO",1,N,D,,9787.0,10766.0,700.0,10066.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072206D,Delivery Location,72206,"Cypress Gas Pipeline Co.- W. Baton Rouge Psh., LA",ELA,N,D,,34156.0,34698.0,0.0,34698.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
