GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,TSP,EffGasDayTime,CycleDesc
114OA000083D,Delivery Location,00083,"Rhode Island Energy-CUMBERLAND (PROVIDENCE,RI)",,N,D,,6210.0,6210.0,1000.0,5210.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000084D,Delivery Location,00084,"Southeast (PUTNAM,NY)",,N,D,,62466.0,62466.0,2167.0,60299.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000085D,Delivery Location,00085,"Bristol (HARTFORD,CT)",,N,D,,26841.0,26841.0,7877.0,18964.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000087D,Delivery Location,00087,"PG&E Manchester St, (PROVIDENCE,RI)",,N,D,,262534.0,262534.0,83171.0,179363.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000089D,Delivery Location,00089,"National Grid-MEDFORD (MIDDLESEX,MA)",,N,D,,147578.0,147578.0,5640.0,141938.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000093D,Delivery Location,00093,"Dartmouth Power (NORFOLK,MA)",,N,D,,60391.0,60391.0,700.0,59691.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000094D,Delivery Location,00094,"Bellingham(NORFOLK,MA)",,N,D,,202902.0,202902.0,7000.0,195902.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000095D,Delivery Location,00095,"Ocean St (PROVIDENCE,RI)",,N,D,,339032.0,352853.0,0.0,352853.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000201R,Receipt Location,00201,"Mahwah (BERGEN,NJ)",,N,R,,257072.0,991350.0,946751.0,44599.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000202D,Delivery Location,00202,"Ramapo (ROCKLAND,NY)",,N,D,,922748.0,982988.0,23000.0,959988.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000205R,Receipt Location,00205,"MENDON (NORFOLK,MA)",,N,R,,278736.0,278736.0,238409.0,40327.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000206R,Receipt Location,00206,"Lincoln(MIDDLESEX,MA)",,N,R,,85905.0,94301.0,0.0,94301.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000208R,Receipt Location,00208,"AGT-WANAQUE INTERCONNECT (PASSAIC,NJ)",,N,R,,39727.0,39727.0,0.0,39727.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000210R,Receipt Location,00210,"Algonquin - Lambertville, NJ",,Y,R,,1050454.0,1050454.0,440789.0,609665.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000211R,Receipt Location,00211,"TETCO - Hanover (MORRIS,NJ)",,N,R,,579879.0,586911.0,46010.0,540901.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000214R,Receipt Location,00214,"Ramapo - Millennium (ROCKLAND,NY)",,N,R,,865722.0,1600000.0,906017.0,693983.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000215R,Receipt Location,00215,"Salem Essex Co., MA (ESSEX,MA)",,N,R,,720200.0,720200.0,0.0,720200.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
